"","asia","tub","smoke","lung","bronc","either","xray","dysp"
"1","no","no","no","no","no","no","no","no"
"2","no","no","no","no","yes","no","no","yes"
"3","no","no","yes","no","yes","no","no","yes"
"4","no","no","yes","yes","no","yes","yes","yes"
"5","no","no","yes","no","no","no","no","no"
"6","no","no","no","no","yes","no","no","no"
"7","no","no","no","no","yes","no","no","yes"
"8","no","no","no","no","no","no","no","no"
"9","no","no","no","no","no","no","no","no"
"10","no","no","no","no","yes","no","no","yes"
"11","no","no","no","no","no","no","no","no"
"12","no","no","no","no","no","no","no","no"
"13","no","no","no","no","no","no","no","yes"
"14","no","no","no","no","no","no","no","no"
"15","no","no","no","no","no","no","no","no"
"16","no","no","yes","no","no","no","no","no"
"17","no","no","no","no","no","no","no","no"
"18","no","no","yes","yes","yes","yes","yes","yes"
"19","no","no","no","no","no","no","no","no"
"20","no","no","no","no","no","no","no","no"
"21","no","no","yes","no","no","no","no","no"
"22","no","no","yes","no","no","no","no","no"
"23","no","no","no","no","no","no","no","no"
"24","no","no","yes","no","no","no","no","no"
"25","no","no","no","no","no","no","no","yes"
"26","no","no","yes","no","yes","no","yes","yes"
"27","no","no","yes","no","yes","no","no","yes"
"28","no","no","no","no","yes","no","no","no"
"29","no","no","no","no","no","no","no","no"
"30","no","no","no","no","no","no","no","no"
"31","no","no","no","no","no","no","no","yes"
"32","no","no","no","no","yes","no","no","yes"
"33","no","no","no","no","no","no","no","no"
"34","no","no","no","no","no","no","no","no"
"35","no","no","yes","no","yes","no","no","no"
"36","no","no","yes","no","no","no","no","no"
"37","no","no","yes","no","yes","no","no","yes"
"38","no","no","yes","no","yes","no","no","yes"
"39","no","no","no","no","no","no","no","no"
"40","no","no","no","no","no","no","no","no"
"41","no","no","no","no","no","no","no","no"
"42","no","no","no","no","no","no","no","yes"
"43","no","no","no","no","no","no","no","no"
"44","no","no","yes","yes","no","yes","yes","yes"
"45","no","no","no","no","no","no","no","no"
"46","no","no","no","no","no","no","no","no"
"47","no","no","no","no","no","no","no","no"
"48","no","no","yes","no","yes","no","no","yes"
"49","no","no","yes","no","yes","no","no","yes"
"50","no","no","yes","no","yes","no","no","yes"
"51","no","no","no","no","no","no","no","yes"
"52","no","no","no","no","yes","no","no","yes"
"53","no","no","yes","no","yes","no","no","yes"
"54","no","no","no","no","no","no","no","no"
"55","no","no","yes","no","no","no","no","no"
"56","no","no","no","no","no","no","no","no"
"57","no","no","yes","no","yes","no","no","yes"
"58","no","no","yes","no","yes","no","no","yes"
"59","no","no","no","no","yes","no","no","no"
"60","no","no","yes","no","no","no","no","no"
"61","no","no","yes","no","yes","no","no","yes"
"62","no","no","no","no","yes","no","no","no"
"63","no","no","no","no","no","no","no","no"
"64","no","no","yes","no","yes","no","no","yes"
"65","no","no","no","no","no","no","no","no"
"66","no","no","yes","no","yes","no","no","yes"
"67","no","no","yes","no","yes","no","no","yes"
"68","no","no","yes","no","yes","no","no","yes"
"69","no","no","yes","no","yes","no","no","yes"
"70","no","no","no","no","yes","no","no","yes"
"71","no","no","no","no","no","no","no","no"
"72","no","no","yes","no","yes","no","no","no"
"73","no","no","no","no","no","no","yes","no"
"74","no","no","no","no","no","no","no","no"
"75","no","no","no","no","no","no","no","no"
"76","no","no","yes","no","yes","no","no","yes"
"77","no","no","yes","no","yes","no","no","no"
"78","no","no","yes","no","no","no","no","no"
"79","no","no","no","no","yes","no","no","yes"
"80","no","no","no","no","no","no","no","no"
