"","jordtype","komm","nedbarea","nmin","aar_mod","forfrugt","potnmin","jordn","pesticid","exptgens","mod_nmin","ngodnt","nopt","ngodnn","ngodn","nprot","saatid","rokap","dgv1059","sort","srtprot","nplac","dg25","ngtilg","ntilg","saamng","tkvs","saakern","partigerm","frspdag","jordinf","markgrm","antplnt","sorttkv","aks_m2","keraks","dgv5980","aks_vgt","srtsize","ksort","protein","udb","spndx","tkv","slt22","s2225","s2528","bgbyg"
"1","Jb_7","state4","x1___375_","x30_45","x_5","Cereals","x15_30","x60_75","x_2","x50_60","x30_45","x105_120","x135_150","x60_75","x60_75","x80_100","x26_3_10_4","x137_5_162_5","x51_60","Alexis","x3","worked_in_solil","x_22_5","x60_75","x135_150","x130_150","x48_50","x275_325","x98_99","x21_23","x90__93","x90_93","x225_275","x6","x550_650","x17_19","x_35","x750_850","x3","x90_95","x10_0_10_5","x40_50","x9_10","x47_5_50","x3_5","x0_1","x0_5","x_3_0"
"2","JB_6","state3","x1___375_","x45_60","x_5","Clovergrass","x30_45","x90_105","x_2","x50_60","x45_60","x60_75","x135_150","x45_60","x45_60","x100_120","x11_4_20_4","x162_5_187_5","x51_60","Marielle","x3","worked_in_solil","x11_5_27_5","x45_60","x135_150","x110_130","x30_35","x325_375","x97_98","x15_17","x93__95","x90_93","x275_325","x5","x750_950","x15_17","x15_25","x750_850","x_1","x95_98","x11_0_11_5","x65_70","x9_10","x40_42_5","x3_5","x0_1","x0_5","x3_5_4_0"
"3","Jb_7","state3","x3___500_","x30_45","x25","Cereals","x15_30","x30_45","x_2","x50_60","x0_15","x135_150","x150_165","x105_120","x105_120","x40_60","x11_4_20_4","x137_5_162_5","x61_70","Caruso","x5","worked_in_solil","x_22_5","x120_135","x165_180","x130_150","x42_44","x325_375","x80_85","x_15","x_99_1_00","x80_85","x275_325","x5","x750_950","x17_19","x0_5","x850_950","x0","x95_98","x11_5_12_0","x70_80","x9_10","x40_42_5","x3_5","x0_1","x0_5","x4_0_4_5"
"4","JB_8","state2","x2__375_500_","x30_45","x_15","Other","x0_15","x60_75","x_2","x30_40","x45_60","x60_75","x120_135","x45_60","x45_60","x60_80","x_26_4","x162_5_187_5","x41_50","Trebon","x3","worked_in_solil","x_22_5","x_45","x90_105","x190_210","x40_42","x_450","x95_97","x_15","x_98__99","x94_95","x375_425","x5","x450_550","x17_19","x0_5","x750_850","x3","x90_95","x_12_0","x30_40","x9_10","x35_40","x3_5","x0_1","x0_5","x4_5_5_0"
"5","Jb_7","state2","x1___375_","x30_45","x20","Beets","x45_60","x60_75","x_2","x50_60","x15_30","x105_120","x135_150","x60_75","x60_75","x80_100","x_26_4","x137_5_162_5","x51_60","Saxo","x3","Top_dressed","x_22_5","x75_90","x150_165","x170_190","x46_48","x375_424","x95_97","x_15","x_99_1_00","x95_97","x375_425","x4","x750_950","x17_19","x25_35","x700_750","x3","x85_90","x11_0_11_5","x60_65","x9_10","x40_42_5","x3_5","x1_5","x5_10","x3_0_3_5"
"6","JB_8","state1","x1___375_","x60_75","x_5","Clovergrass","x75_90","x_120","x_2","x40_50","x60_75","x_45","x135_150","x_45","x_45","x120_140","x_26_4","x162_5_187_5","x41_50","Ariel","x4","worked_in_solil","x47_5_57_5","x_45","x150_165","x230_250","x44_46","x_450","x97_98","x_15","x_99_1_00","x95_97","x_425","x3","x650_750","x15_17","x15_25","x850_950","x2","x_98","x_12_0","x60_65","x9_10","x42_5_45","x1_2","x0_1","x0_5","x4_0_4_5"
"7","Jb_7","state4","x2__375_500_","x30_45","x10","Cer_rotation","x30_45","x60_75","x_2","x50_60","x15_30","x105_120","x150_165","x75_90","x75_90","x80_100","x21_4_26_4","x162_5_187_5","x51_60","Sehila","x5","Placed","x_22_5","x75_90","x135_150","x110_130","x35_40","x275_325","x95_97","x_15","x_99_1_00","x95_97","x275_325","x6","x450_550","x21_23","x0_5","x850_950","x_1","x_85","x_12_0","x40_50","x9_10","x40_42_5","x3_5","x1_5","x20_25","x4_5_5_0"
"8","Jb_7","state2","x1___375_","x30_45","x0","Cer_rotation","x75_90","x105_120","x_2","x50_60","x30_45","x90_105","x135_150","x_45","x_45","x100_120","x_26_4","x187_5_212_5","x51_60","Ariel","x2","Placed","x_22_5","x_45","x135_150","x170_190","x30_35","x_450","x95_97","x15_17","x_99_1_00","x95_97","x_425","x3","x750_950","x17_19","x0_5","x700_750","x2","x85_90","x10_0_10_5","x60_65","x9_10","x42_5_45","x3_5","x1_5","x10_15","x4_5_5_0"
"9","Jb_7","state0","x1___375_","x30_45","x15","Cereals","x15_30","x45_60","x_2","x50_60","x15_30","x120_135","x135_150","x90_105","x90_105","x60_80","x11_4_20_4","x162_5_187_5","x61_70","Maud","x1","worked_in_solil","x11_5_27_5","x105_120","x150_165","x70_90","x46_48","x_175","x90_93","x19_21","x_98__99","x90_93","x_175","x6","x450_550","x21_23","x_35","x950_1050","x2","x90_95","x10_0_10_5","x40_50","x9_10","x42_5_45","x3_5","x0_1","x0_5","x_3_0"
"10","JB_8","state1","x1___375_","x30_45","x_20","Cer_rotation","x60_75","x_120","x_2","x40_50","x45_60","x60_75","x120_135","x_45","x_45","x120_140","x21_4_26_4","x187_5_212_5","x61_70","Loma","x3","worked_in_solil","x27_5_32_5","x_45","x165_180","x50_70","x44_46","x_175","x80_85","x_15","x_98__99","x80_85","x_175","x4","x450_550","x_23","x25_35","x950_1050","x3","x_85","x11_0_11_5","x50_55","x9_10","x40_42_5","x3_5","x1_5","x15_20","x3_0_3_5"
