"","N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"1","StrongUp","Down","Neutral","Neutral","Neutral","VeryWet","Neutral","VeryWet","VeryWet","PC","PC","PC","Clear","Strong","Strong","Other","Weak","Weak","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Jul16_Aug10","E","CThruK","None","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","MoreUnstable","ACEFK","None","Weak","Slight","E","SVR","SVR","SVR","LowEvrywhere","ModerateOrLe","Dry","ModerateOrLe","NoMajor","MoistMDryL","None","LittleChange","Other","SWQuad","Westerly","LV"
"2","Down","Down","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Neutral","PC","Clear","Cloudy","Cloudy","Weak","Weak","Westerly","Weak","None","None","None","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Jul2_Jul15","J","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","LessUnstable","MoreUnstable","GJ","None","Unfavorable","Slight","J","XNIL","XNIL","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","DryMMoistL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"3","WeakUp","WeakUp","Down","Neutral","Neutral","Neutral","Dry","Dry","Dry","PC","Clear","PC","PC","Weak","Strong","Westerly","Weak","None","Strong","Marked","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jun15_Jul1","B","AB","None","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","MoreUnstable","B","PartInhibit","Moderate","Strong","B","SIG","SIG","SIG","LowNHighS","Steep","Average","Steep","MarkedUpper","Other","DenvCyclone","PosToNeg","Moving","NWQuad","Westerly","SEQuad"
"4","Down","WeakUp","Down","Down","Down","Dry","Neutral","Dry","Dry","Clear","PC","Clear","Clear","None","None","DCVZFavor","None","Strong","Strong","None","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Jul2_Jul15","B","AB","PartInhibit","LessThanAve","MoreThanAve","ABI","N5GtLIGt_8","Stability","Average","Average","B","None","Moderate","Strong","B","XNIL","XNIL","XNIL","LowMtsHighPl","ModerateOrLe","VeryMoist","Steep","NoMajor","Other","DenvCyclone","PosToNeg","QStationary","AllElse","LVorOther","E_NE"
"5","WeakUp","Down","Neutral","WeakUp","WeakUp","VeryWet","Dry","Wet","Wet","PC","Clear","PC","PC","None","None","StrongWest","None","None","None","None","IncCapDecIns","Increasing","Neutral","Decreasing","XNIL","Jul16_Aug10","G","CThruK","PartInhibit","LessThanAve","MoreThanAve","G","LILt_8","Instability","Average","Average","GJ","Stifling","Weak","Slight","G","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","None","PosToNeg","None","SWQuad","LVorOther","WidespdDnsl"
"6","Neutral","StronUp","WeakUp","Neutral","Neutral","Neutral","Wet","Neutral","Neutral","Clear","PC","PC","Clear","Weak","Strong","DCVZFavor","Weak","None","Weak","Marked","LittleChange","LittleChange","Neutral","LittleChange","SIG","Jun15_Jul1","B","AB","Stifling","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","None","Strong","Strong","B","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","MoistMDryL","DenvCyclone","NegToPos","QStationary","NWQuad","Westerly","DenvCyclone"
"7","StrongUp","StronUp","WeakUp","StrongUp","StrongUp","Neutral","Neutral","Neutral","Neutral","Cloudy","Clear","Cloudy","PC","None","None","StrongWest","None","Weak","None","None","LittleChange","LittleChange","StrongPos","LittleChange","XNIL","Jun15_Jul1","I","CThruK","None","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","HI","None","Weak","Slight","I","XNIL","XNIL","XNIL","LowSHighN","Steep","Dry","ModerateOrLe","NoMajor","MoistMDryL","MovingFtorOt","SigNegative","QStationary","SWQuad","Westerly","DenvCyclone"
"8","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Cloudy","PC","Cloudy","Cloudy","Weak","Strong","DCVZFavor","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","Neutral","Increasing","SIG","Aug20_Sep15","E","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","LessUnstable","Average","ACEFK","PartInhibit","Unfavorable","None","E","XNIL","XNIL","SIG","LowMtsHighPl","Steep","Average","ModerateOrLe","NoMajor","MoistMDryL","E_W_N","LittleChange","None","SWQuad","Westerly","LV"
"9","Down","Neutral","WeakUp","Neutral","Neutral","Neutral","VeryWet","VeryWet","VeryWet","Clear","Clear","Clear","Clear","None","None","DCVZFavor","None","Weak","Weak","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","Average","D","PartInhibit","Moderate","Moderate","D","XNIL","XNIL","XNIL","LowSHighN","Steep","Average","CloseToDryAd","MarkedUpper","DryMMoistL","Other","PosToNeg","Moving","NWQuad","Westerly","LV"
"10","Down","Down","StrongUp","Down","Down","Dry","VeryWet","VeryWet","Wet","Cloudy","PC","Cloudy","Clear","None","None","DCVZFavor","None","Weak","Weak","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Jun15_Jul1","C","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","LessUnstable","Average","ACEFK","PartInhibit","Moderate","Moderate","C","SIG","SIG","SIG","LowEvrywhere","Steep","Average","CloseToDryAd","OtherRapid","Other","E_W_N","NegToPos","Other","LV","Westerly","WidespdDnsl"
"11","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","Clear","PC","Clear","PC","Strong","Strong","Other","None","Strong","Weak","Some","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Jul2_Jul15","K","CThruK","PartInhibit","LessThanAve","Average","K","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","ACEFK","Stifling","Weak","None","K","XNIL","XNIL","XNIL","LowNHighS","Steep","Dry","ModerateOrLe","StrongFront","DryMMoistL","E_W_S","LittleChange","Moving","AllElse","LVorOther","WidespdDnsl"
"12","Down","StronUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Cloudy","PC","Cloudy","Cloudy","None","None","Westerly","None","None","None","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","Aug11_Aug20","I","CThruK","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","None","Weak","Slight","I","SIG","SIG","SIG","HighEvrywher","Steep","Average","CloseToDryAd","OtherRapid","DryMMoistL","MovingFtorOt","SigNegative","QStationary","SWQuad","LVorOther","DenvCyclone"
"13","Down","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","PC","Clear","PC","Clear","Weak","Strong","Westerly","Weak","Weak","Weak","Some","IncCapDecIns","Increasing","Negative","Increasing","SVR","Jul16_Aug10","J","CThruK","None","LessThanAve","Average","CDEJ","N1GtLIGt_4","Neutral","Average","MoreUnstable","GJ","PartInhibit","Strong","Strong","J","SIG","SIG","SVR","LowMtsHighPl","ModerateOrLe","Average","ModerateOrLe","NoMajor","DryMMoistL","DryLine","LittleChange","None","LV","LVorOther","E_NE"
"14","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","Wet","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Weak","Strong","Strong","Marked","IncCapDecIns","Increasing","Negative","Increasing","SIG","Aug20_Sep15","K","CThruK","None","LessThanAve","Average","K","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","ACEFK","None","Strong","Strong","K","SIG","SIG","SIG","Other","Stable","Average","ModerateOrLe","MarkedUpper","DryMMoistL","DryLine","SigPositive","Moving","SWQuad","Westerly","WidespdDnsl"
"15","Down","Neutral","Neutral","Down","Down","Wet","VeryWet","Wet","Dry","PC","Cloudy","PC","Clear","Weak","Strong","DCVZFavor","Strong","None","Weak","Marked","LittleChange","LittleChange","WeakPos","Increasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","ACEFK","None","Moderate","Moderate","K","XNIL","XNIL","XNIL","LowAtStation","Steep","Average","Steep","StrongFront","DryMMoistL","E_W_S","SigPositive","None","AllElse","Westerly","WidespdDnsl"
