"","A","C","D","H","I","O","T"
"1","young","none",0,"none",81.0820999328095,67.2477166919433,287.132692781139
"2","adult","mild",0,"none",75.3646631584398,194.773020147116,408.549274468716
"3","adult","none",0,"none",116.075911197161,183.764788284439,415.435956503027
"4","adult","none",5.43464984189385,"any",1708.80562640729,191.194626162503,2056.24752859173
"5","young","none",0,"none",86.8365795868887,62.4029080665585,268.715750079469
"6","adult","none",0,"none",121.174717325685,166.675085937113,423.120419002488
"7","adult","severe",0,"none",346.748622090759,203.176819152133,675.893731313125
"8","adult","none",0,"none",110.731864341253,228.405075942371,480.60940649489
"9","adult","none",3.97080834814759,"any",1326.05521164599,219.366877248252,1733.0094349248
"10","old","mild",0,"none",148.643408577951,377.373618205396,672.148644620723
"11","adult","mild",0,"none",137.225250542284,201.609748224896,485.625372954822
"12","adult","none",0,"none",98.9678712570178,182.802972939302,391.912923083325
"13","adult","mild",5.44770577896325,"any",3048.86483980279,155.772144684634,3387.44865337159
"14","adult","none",3.45277587108916,"any",1112.77458411057,153.376928603075,1416.75338201741
"15","young","none",0,"none",169.797801328095,61.3382386347286,351.467241477386
"16","young","none",0,"none",67.5983013530173,51.9356023316799,227.398217683135
"17","adult","mild",0,"none",185.466806662819,161.535968700207,491.381286139066
"18","adult","none",0,"none",120.31369670997,176.83208797729,430.698761281195
"19","old","none",9.61146536163252,"any",2977.50497867106,351.397642650121,3529.07224273691
"20","old","none",0,"none",103.233290657647,339.503685384674,582.965831192535
"21","young","none",0,"none",107.033566550769,61.289957379857,285.634833058806
"22","adult","none",0,"none",92.6902830574501,226.734313859845,447.404551616181
"23","young","severe",0,"none",319.886290329034,57.2983068455164,522.879952753943
"24","old","mild",0,"none",8.24966314873528,285.561601363756,421.006990820002
"25","adult","none",0,"none",143.933441368342,163.236690482512,449.364370627055
"26","young","none",0,"none",119.341062742116,52.1249174010525,300.04887826371
"27","young","none",0,"none",89.9402908307438,68.4185342864469,287.068803106343
"28","adult","none",0,"none",128.650375906056,179.641485227031,455.576385752213
"29","old","none",0,"none",96.2927454538325,372.127408431583,597.268039485253
"30","young","mild",0,"none",136.352716404005,69.3008400960379,319.66149385443
"31","young","none",0,"none",86.9012426154691,49.4158624487417,258.15390746118
"32","old","mild",0,"none",63.2183593796672,355.017916911198,566.071549079466
"33","adult","none",0,"none",55.8543121470144,169.135050057668,344.263519002297
"34","young","none",0,"none",142.716795166698,50.1661533093998,328.782073799979
"35","adult","none",3.27613587950609,"any",1072.03721417294,218.119236135857,1434.25397495426
"36","young","none",0,"none",84.9171123861716,76.6631178213862,281.706864426535
"37","adult","none",0,"none",107.781719465995,172.892030123612,406.156210473962
"38","young","none",0,"none",99.1292471043124,64.7881517072874,280.930977306871
"39","adult","none",0,"none",74.0973056820395,185.466342817227,393.09525129878
"40","old","none",7.50599067409014,"any",2299.8659962823,399.98143059137,2887.13131854102
"41","young","none",0,"none",35.2510221321879,70.7320606009791,246.246908317394
"42","adult","none",3.10859904188942,"any",1011.90424336319,178.703819780982,1318.49532052856
"43","adult","none",0,"none",89.5693121043553,176.757822141731,383.349689526319
"44","young","none",0,"none",103.334273702798,64.2478381808808,292.319273928231
"45","young","none",2.0380324641498,"any",722.758157976332,68.5403322326925,942.421459784181
"46","young","none",0,"none",131.205244531576,61.1776872757324,332.575339672805
"47","adult","none",0,"none",126.782884845955,198.56981493479,454.676001203835
"48","adult","none",3.592597166674,"any",1172.60839868051,175.264718581102,1491.5960921256
"49","young","none",0,"none",112.473178405674,64.3088784860614,313.980619903081
"50","young","none",0,"none",46.5073944727646,72.0062886750539,255.930140420901
"51","adult","none",3.88100278410538,"any",1293.88408257013,184.210622807779,1614.85285384964
"52","young","none",0,"none",165.747432739496,62.1295704328466,360.875863136747
"53","young","none",0,"none",148.662246065267,73.6127127659088,344.751121453217
"54","young","none",1.67564880582889,"any",585.976145944534,58.9643976675268,791.456530196579
"55","old","severe",0,"none",149.442600276229,333.754113898844,608.764708669303
"56","old","none",0,"none",111.831013886686,361.68667200054,627.112352587504
"57","adult","none",0,"none",70.8890747703603,182.172931799322,392.29920425705
"58","old","mild",0,"none",88.786466851191,311.992886160399,535.722292542784
"59","old","none",7.0578856790911,"any",2217.53961743778,379.043631960931,2792.5363028435
"60","old","none",6.70518491478964,"any",2124.53897978493,263.623586072492,2569.54095516996
"61","adult","mild",0,"none",132.770112227604,177.840149324907,448.440061936468
"62","young","none",0,"none",103.066719961749,71.0268004978735,307.307518006103
"63","adult","none",0,"none",75.9996412670605,197.850223605944,408.397515037744
"64","young","none",0,"none",130.177206633284,49.3812457714606,307.764426047589
"65","young","none",0,"none",121.864829192265,50.5505674328989,304.89255568842
"66","adult","none",0,"none",71.3093722321001,174.849742377276,382.86811507129
"67","adult","mild",0,"none",78.1257906439828,197.097422147103,384.60444066158
"68","adult","none",0,"none",58.6333973939172,175.11880574712,355.967327955477
"69","young","none",0,"none",138.289411345587,46.3617024984408,305.61276777009
"70","adult","none",5.59470141615003,"any",1800.66946264884,152.772601537927,2133.06424807556
"71","old","severe",0,"none",-1.52940465794178,389.606190910055,542.470423869539
"72","young","none",0,"none",103.573573752858,61.6871897257488,288.708000567006
"73","adult","none",0,"none",120.73353385744,153.749442461759,387.896629071337
"74","adult","none",4.79190820744229,"any",1526.10696563956,145.592612998525,1822.34458394185
"75","adult","none",0,"none",75.3910229257497,162.630012674817,382.715851767355
"76","young","none",0,"none",99.9793295798197,60.8582118633765,288.239001195103
"77","young","none",0,"none",86.2845627747613,70.9172554071122,285.145566077023
"78","adult","none",0,"none",118.697007490155,160.552926451787,424.434173861107
"79","young","severe",0,"none",73.7890668614908,46.7541171237911,240.569807024185
"80","young","none",0,"none",129.006968740626,57.2292036538762,306.276881424043
"81","old","mild",6.41678950892885,"any",3569.06066577444,333.625840240211,4104.85410479292
"82","young","none",0,"none",82.5437685173436,64.7920051729902,261.926814763087
"83","adult","none",0,"none",122.459274236868,186.969988513434,445.8529038078
"84","adult","none",0,"none",133.139288483868,163.310637056787,420.911710806902
"85","old","mild",8.10581930841221,"any",4531.2566781395,326.963161292504,5093.57623556494
"86","old","mild",0,"none",91.3136977674963,380.266440323257,600.420879571746
"87","adult","mild",0,"none",63.2969877581365,218.340578188239,415.951851071722
"88","adult","severe",0,"none",127.806198916402,160.404763917168,428.162404180984
"89","adult","mild",0,"none",105.733908123492,165.764694003459,391.929738912843
"90","adult","none",0,"none",93.5483138795698,145.261669745787,356.904605214254
"91","young","none",0,"none",110.517284529355,74.3160782631693,287.769445036569
"92","adult","none",0,"none",53.0506540667814,164.172857486705,343.898726904978
"93","young","none",0,"none",79.9196649488101,63.134125296609,279.574309523575
"94","adult","none",0,"none",96.480509011618,207.366550924599,422.731786255884
"95","adult","mild",4.03317170975255,"any",2320.16313965407,193.162540387039,2671.86659357512
"96","adult","none",0,"none",64.6273740613478,150.970989132688,350.969248024602
"97","old","severe",7.06930882062743,"any",5772.24315921381,380.584891316286,6388.69632217644
"98","young","none",0,"none",124.82926549051,57.5235332899076,310.622130778775
"99","young","none",0,"none",89.0200794432141,43.490514029376,248.847292333186
