"","Region","Zone","Type","Year","Season","Month","Day","Hour","Latitude","Longitude","Altitude","t2m","ws","wd","tp","blh","ssr","CVD60","no2","o3","so2","co","pm10","pm2.5"
"1","South West","West Midlands Urban Area","Background Urban","1999","Winter","07","11","00",52.6115448558148,-1.63845158671136,129.710661990342,287.00440462341,4.07999407954621,41.520506027275,0.000525489354313047,615.315475331381,4177338.64925777,0.230641013278531,56.1858206739528,36.186040188908,14.3293311138508,0.785426519521487,26.593357327377,18.6393584654845
"2","Greater London Authority","Tyneside","Traffic Urban","1985","Summer","12","16","20",51.4471158013028,-2.65741598964915,167.509905050951,281.723095412601,6.57701577899403,262.331873450185,-0.00365444280624783,811.602152290868,4372479.46288348,0.152819616142484,76.419595853183,17.7404287047562,13.7680972935877,1.44163409254686,36.5191810970469,18.6406687589274
"3","Greater London Authority","North West & Merseyside","Background Urban","1998","Summer","09","26","03",52.0891204072358,-0.19085775591164,46.4105352822475,282.155150368542,2.1804502274172,70.0276389413007,0.000171551595901751,-69.9827053796172,2355082.16203588,0.122151904592392,76.3953821621561,17.6971331139847,13.8448522582635,1.44236730418448,36.4889672609383,16.944076524837
"4","Yorkshire and The Humber","Greater London Urban Area","Background Suburban","1990","Fall","09","14","14",53.3744858551279,1.0930122597979,38.379114842908,289.593293001588,4.62257809546922,-83.0252664539713,0.00187314439662019,-0.831678833239422,2812510.374199,0.182977395803752,76.3014704337518,17.7557448462683,13.807385640125,1.47172643901701,36.4840793886806,18.5200485094764
"5","Greater London Authority","Greater Manchester Urban Area","Background Rural","1994","Spring","07","23","04",53.0804805338996,1.20889233719346,-55.3648730658544,289.233546641491,4.43122090823016,40.6249588457216,0.000338997682760557,233.079820419086,-766.110953036283,0.160465879253982,-115666.008118759,13.037341599688,31068.3039396067,0.134127006754372,33.8548820790643,18.2547085979671
"6","West Midlands","Greater London Urban Area","Background Rural","1992","Spring","04","04","21",49.7759572162216,-0.477938172780728,56.3716432961007,280.88342654547,5.34743162208247,378.588867435206,0.0010558854064181,667.183108640188,1074072.28908801,0.170688917630822,84.8261195654751,24.7114665829905,6.28695928902636,1.27350703834506,35.6293326775773,18.6010499745515
"7","Greater London Authority","The Potteries","Background Urban","1993","Spring","11","23","02",52.3956033986093,-0.984493152168345,-102.500548833439,275.441353121347,2.82645419363982,298.196911971358,-0.00920399051048342,144.919841727741,3556306.92043786,0.13207883936758,76.3290727592333,17.7021815432041,13.7902429493974,1.44237606462982,36.4283707792374,18.6406567292781
"8","West Midlands","Greater London Urban Area","Background Urban","1995","Fall","09","19","12",51.652625677108,-3.5607215640692,-8.90441910782981,291.020146322248,8.76950364287066,26.4913120285578,0.00268332781874587,1304.65022314264,3510136.27551902,0.187616109005472,54.0480276465674,22.770538071103,30.4602623877498,1.30339086608371,33.6169646592292,18.6385345009243
"9","North West","Greater London Urban Area","Background Urban","1989","Winter","09","18","09",52.7574532781821,-0.082883070762106,121.810434297004,284.024316886525,3.53725111181081,170.804430929135,0.000614817382345131,326.196405593637,1161504.84869627,0.288908678987221,79.3520863020343,17.7399443766913,13.8110896722723,1.82399783523708,36.4757884793276,18.6382583704981
"10","South West","Greater Manchester Urban Area","Industrial Suburban","1984","Winter","10","21","07",52.1241413131474,-0.569093951724439,75.6973924937744,280.104776680308,5.3248830351345,293.262744707185,-0.000228543006704742,600.764127387015,-1982.0678391499,0.288616079107118,76.3163520912704,17.7524993418366,13.8402467561146,1.44074995665765,36.4830437864159,18.6378588763681
"11","South East","Coventry/Bedworth","Traffic Urban","1995","Summer","05","31","18",51.7966646844548,-1.15916398255253,-2.1288595749518,291.182546554427,3.89364399482677,340.226870353336,0.000812852820351969,1540.27731197992,12355232.1788672,0.235914148869301,545.992132276442,19.6061170242911,19.7699667979268,1.23620796907358,36.5034888863812,18.6402187538065
"12","West Midlands","Yorkshire & Humberside","Background Urban","1998","Spring","01","09","06",51.166419501095,-3.32408987938346,74.6887576313524,281.497573963116,11.0138295977274,233.838755460755,0.0013125241697795,1038.69549485749,-7723.58878476002,0.215111243209678,22.1027391038745,62.8204576914558,-2.54077978765598,1.44226012672639,35.309862593913,18.6404712978313
"13","Greater London Authority","Greater London Urban Area","Background Rural","1986","Fall","09","10","04",53.0263713331233,-3.78991671746202,-67.6871907071248,277.934475638777,2.39374377234928,177.455291569642,0.000446527773331911,0.972030061735175,-10.6209387734435,0.138443679318902,95.4768328579198,12.0949357647259,22.4271190366906,1.27350701118011,35.6293315578554,17.4482025683333
"14","South East","Greater London Urban Area","Background Rural","1987","Fall","01","30","18",53.2248019005526,-1.82145734672223,-7.80259643757793,271.390640097579,2.56804606204057,73.1541441245072,0.0015358658107813,237.691920156572,968162.134321214,0.16148876663328,93.97983555898,6.76583803830078,22.4271192064936,1.27350702026518,35.6293315763489,18.644022788407
