"","A","S","E","O","R","T"
"1","young","M","high","emp","big","train"
"2","old","M","high","emp","small","other"
"3","old","M","high","emp","small","train"
"4","adult","F","high","emp","big","car"
"5","adult","M","high","emp","big","other"
"6","young","M","high","emp","big","car"
"7","adult","F","uni","emp","big","other"
"8","young","F","uni","emp","big","car"
"9","young","F","uni","emp","small","car"
"10","old","M","high","emp","big","car"
"11","old","F","high","emp","small","car"
"12","adult","F","high","emp","big","car"
"13","old","M","high","emp","big","train"
"14","old","M","uni","emp","big","car"
"15","young","F","high","emp","big","car"
"16","young","M","high","emp","small","train"
"17","adult","F","high","emp","big","train"
"18","adult","M","high","self","small","car"
"19","old","F","high","emp","small","car"
"20","young","M","high","emp","small","car"
"21","young","F","uni","emp","big","train"
"22","adult","F","uni","emp","big","other"
"23","young","F","uni","emp","big","train"
"24","adult","F","high","emp","big","car"
"25","adult","F","uni","emp","big","car"
"26","old","F","high","emp","big","car"
"27","young","F","high","emp","big","car"
"28","young","F","uni","emp","big","car"
"29","adult","M","high","emp","big","car"
"30","young","M","high","emp","big","car"
"31","adult","M","high","emp","big","other"
"32","adult","M","high","emp","big","car"
"33","adult","F","high","emp","big","car"
"34","adult","M","uni","emp","big","other"
"35","adult","M","high","emp","big","car"
"36","old","M","high","emp","big","car"
"37","adult","F","uni","emp","big","other"
"38","old","M","uni","emp","big","train"
"39","young","F","high","emp","big","car"
"40","young","M","high","emp","big","car"
"41","adult","F","high","emp","big","car"
"42","adult","F","high","emp","big","car"
"43","adult","F","uni","emp","small","car"
"44","adult","M","high","emp","big","other"
"45","young","M","high","emp","small","car"
"46","old","M","uni","emp","small","car"
"47","adult","M","uni","self","small","car"
"48","adult","F","high","emp","big","other"
"49","adult","F","uni","emp","big","train"
"50","young","M","uni","emp","small","car"
"51","old","M","uni","emp","big","car"
"52","adult","M","uni","emp","small","train"
"53","adult","F","high","emp","small","other"
"54","young","M","uni","emp","big","car"
"55","adult","M","high","emp","small","car"
"56","young","M","uni","emp","big","train"
"57","young","M","high","emp","big","car"
"58","old","F","high","emp","big","car"
"59","old","F","high","emp","big","car"
"60","old","M","high","emp","big","other"
"61","adult","F","high","emp","big","other"
"62","young","M","high","emp","small","car"
"63","adult","F","high","emp","small","car"
"64","adult","M","high","emp","big","car"
"65","adult","M","uni","emp","big","train"
