"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.493056,0.000000,1.000000,0.394444,0.000000,1.000000,0.961538,0.666667,1.000000,0.799383,0.333333,1.000000,0.650582,0.571429,0.774194,1.733333,1.000000,3.000000,1.386111,1.410256,2.020833,2.333333,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.574444,0.111111,1.000000,0.283333,0.000000,0.555556,0.875817,0.000000,1.000000,0.843889,0.500000,1.000000,0.663012,0.571429,0.750000,2.125000,1.166667,3.166667,1.419444,1.547619,2.513889,3.000000,2.500000,-inf,-inf,-inf,-inf,-inf,-inf
2,0.513016,0.166667,0.833333,0.333413,0.000000,0.833333,0.827778,0.333333,1.000000,0.850585,0.333333,1.000000,0.651294,0.583333,0.750000,2.272222,1.166667,3.500000,1.397500,1.243590,2.595960,3.404762,2.000000,3.333333,-inf,-inf,-inf,-inf,-inf
3,0.541290,0.333333,0.916667,0.327877,0.083333,0.555556,0.850309,0.000000,1.000000,0.864722,0.500000,1.000000,0.651001,0.567568,0.735294,2.238889,1.222222,4.333333,1.484167,1.331597,3.012821,3.095238,3.583333,-inf,-inf,-inf,-inf,-inf,-inf
4,0.582130,0.300000,1.000000,0.256276,0.000000,0.500000,0.828655,0.000000,1.000000,0.842500,0.555556,1.000000,0.652358,0.600000,0.725490,2.226389,1.222222,3.222222,1.350278,1.474206,2.648148,3.222222,2.666667,2.916667,-inf,-inf,-inf,-inf,-inf
5,0.444698,0.185185,0.791667,0.260316,0.083333,0.611111,0.721389,0.333333,1.000000,0.682857,0.166667,1.000000,0.686060,0.593220,0.829787,2.365278,1.500000,3.200000,1.676468,1.765205,2.957407,2.983333,2.466667,-inf,-inf,-inf,-inf,-inf,-inf
6,0.464554,0.222222,0.694444,0.282680,0.083333,0.428571,0.746389,0.333333,1.000000,0.744623,0.416667,1.000000,0.663133,0.569231,0.765625,2.409008,1.866667,3.133333,1.732778,1.980702,2.679825,2.820513,2.000000,3.666667,-inf,-inf,-inf,-inf,-inf
7,0.441838,0.151515,0.703704,0.281040,0.090909,0.566667,0.710556,0.166667,1.000000,0.751151,0.444444,1.000000,0.671484,0.589041,0.753846,2.359246,1.809524,3.000000,1.717421,1.776944,2.813272,2.829060,2.833333,-inf,-inf,-inf,-inf,-inf,-inf
8,0.406260,0.060606,0.733333,0.307035,0.102564,0.545455,0.686508,0.333333,1.000000,0.745456,0.444444,1.000000,0.673231,0.600000,0.773585,2.233757,1.416667,3.055556,1.818095,1.787037,2.503086,2.791667,2.566667,3.000000,4.0,-inf,-inf,-inf,-inf
9,0.422239,0.142857,0.700000,0.325142,0.128205,0.484848,0.734504,0.388889,1.000000,0.754427,0.444444,1.000000,0.659503,0.606742,0.733333,2.358300,1.875000,3.000000,1.743532,1.923333,2.707602,2.821429,3.333333,3.666667,-inf,-inf,-inf,-inf,-inf
10,0.443512,0.210526,0.820513,0.306250,0.128205,0.466667,0.785397,0.555556,1.000000,0.721731,0.444444,1.000000,0.668540,0.604167,0.740385,2.460443,1.833333,2.833333,1.827778,1.979167,2.727778,3.051282,3.055556,3.333333,-inf,-inf,-inf,-inf,-inf
11,0.438883,0.288889,0.750000,0.291773,0.111111,0.462963,0.707202,0.458333,0.952381,0.741032,0.333333,0.966667,0.660418,0.592105,0.712871,2.491521,1.800000,3.500000,1.683684,1.819591,2.764444,3.091270,3.041667,3.166667,-inf,-inf,-inf,-inf,-inf
