"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.493056,0.000000,1.000000,0.394444,0.000000,1.000000,0.961538,0.666667,1.000000,0.799383,0.333333,1.000000,0.650582,0.571429,0.774194,1.733333,1.000000,3.000000,1.386111,1.410256,2.020833,2.333333,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.574444,0.111111,1.000000,0.283333,0.000000,0.555556,0.875817,0.000000,1.000000,0.843889,0.500000,1.000000,0.663012,0.571429,0.750000,2.125000,1.166667,3.166667,1.419444,1.547619,2.513889,3.000000,2.500000,-inf,-inf,-inf,-inf,-inf,-inf
2,0.513016,0.166667,0.833333,0.333413,0.000000,0.833333,0.827778,0.333333,1.000000,0.850585,0.333333,1.000000,0.651294,0.583333,0.750000,2.272222,1.166667,3.500000,1.397500,1.243590,2.595960,3.404762,2.000000,3.333333,-inf,-inf,-inf,-inf,-inf
3,0.541290,0.333333,0.916667,0.327877,0.083333,0.555556,0.850309,0.000000,1.000000,0.864722,0.500000,1.000000,0.651001,0.567568,0.735294,2.238889,1.222222,4.333333,1.484167,1.331597,3.012821,3.095238,3.583333,-inf,-inf,-inf,-inf,-inf,-inf
4,0.582130,0.300000,1.000000,0.256276,0.000000,0.500000,0.828655,0.000000,1.000000,0.842500,0.555556,1.000000,0.652358,0.600000,0.725490,2.226389,1.222222,3.222222,1.350278,1.474206,2.648148,3.222222,2.666667,2.916667,-inf,-inf,-inf,-inf,-inf
5,0.340425,0.000000,0.814815,0.229776,0.047619,0.466667,0.571362,0.000000,1.000000,0.567318,0.250000,1.000000,0.616066,0.557377,0.727273,2.434722,1.333333,3.166667,1.749365,1.934503,2.930556,3.150000,2.600000,-inf,-inf,-inf,-inf,-inf,-inf
6,0.350553,0.140351,0.555556,0.236014,0.083333,0.370370,0.617427,0.366667,1.000000,0.575539,0.333333,0.833333,0.592067,0.509091,0.730769,2.442421,1.866667,2.933333,1.740278,2.089474,2.774854,2.807692,2.000000,3.333333,-inf,-inf,-inf,-inf,-inf
7,0.328779,0.133333,0.488889,0.244646,0.100000,0.388889,0.566891,0.185185,1.000000,0.588027,0.333333,0.800000,0.605256,0.539474,0.721519,2.406111,2.000000,3.250000,1.787500,1.950833,2.776235,2.649573,2.791667,-inf,-inf,-inf,-inf,-inf,-inf
8,0.305958,0.066667,0.666667,0.246435,0.055556,0.377778,0.492099,0.185185,0.666667,0.600020,0.333333,0.944444,0.606673,0.526316,0.692308,2.323393,1.666667,3.000000,1.734987,1.932672,2.647531,2.824074,2.333333,2.333333,4.0,-inf,-inf,-inf,-inf
9,0.328744,0.115942,0.521739,0.250398,0.117647,0.370370,0.562245,0.363636,0.904762,0.602960,0.444444,0.916667,0.596898,0.527027,0.692308,2.391468,1.944444,3.041667,1.798175,2.046944,2.713450,2.857143,2.777778,3.666667,-inf,-inf,-inf,-inf,-inf
10,0.353768,0.155556,0.686275,0.234231,0.078431,0.385965,0.602838,0.291667,0.833333,0.576145,0.383333,0.900000,0.601249,0.520408,0.641975,2.533360,1.925926,3.166667,1.852282,2.060556,2.895000,2.794872,3.166667,3.000000,-inf,-inf,-inf,-inf,-inf
11,0.315578,0.116667,0.500000,0.226864,0.074074,0.385965,0.526762,0.291667,0.740741,0.547069,0.250000,0.766667,0.595330,0.527473,0.679487,2.520946,1.722222,3.583333,1.665900,1.892544,2.946825,2.833333,3.062500,2.666667,-inf,-inf,-inf,-inf,-inf
