"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.509722,0.222222,1.000000,0.400000,0.000000,0.666667,0.974359,0.833333,1.0,0.837963,0.333333,1.0,0.673513,0.600000,0.750000,2.191667,1.000000,5.666667,1.416667,1.371795,2.833333,4.166667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.566667,0.250000,0.833333,0.294722,0.083333,0.666667,0.875817,0.000000,1.0,0.847222,0.500000,1.0,0.703835,0.600000,0.796296,2.697222,1.333333,5.666667,1.522222,1.690476,3.513889,4.000000,3.833333,-inf,-inf,-inf,-inf,-inf,-inf
2,0.536111,0.250000,0.944444,0.345833,0.055556,0.666667,0.878472,0.500000,1.0,0.885673,0.666667,1.0,0.700602,0.615385,0.818182,2.813889,1.333333,5.500000,1.826944,1.538462,3.176768,4.142857,3.333333,4.666667,-inf,-inf,-inf,-inf,-inf
3,0.585040,0.375000,0.722222,0.295556,0.041667,0.523810,0.884259,0.333333,1.0,0.871667,0.500000,1.0,0.691116,0.608696,0.763158,2.719444,1.222222,5.166667,1.634444,1.531250,3.384615,4.238095,4.750000,-inf,-inf,-inf,-inf,-inf,-inf
4,0.553856,0.333333,0.866667,0.314517,0.074074,0.666667,0.851462,0.000000,1.0,0.875000,0.500000,1.0,0.702088,0.612903,0.767442,2.784722,1.444444,5.333333,1.663333,1.507937,3.037037,4.722222,5.000000,5.000000,-inf,-inf,-inf,-inf,-inf
5,0.458033,0.066667,0.857143,0.295434,0.142857,0.600000,0.777778,0.444444,1.0,0.736468,0.428571,1.0,0.745438,0.644068,0.855263,3.095278,1.666667,4.444444,2.210913,2.321637,3.971296,3.933333,2.866667,-inf,-inf,-inf,-inf,-inf,-inf
6,0.475225,0.222222,0.761905,0.311572,0.166667,0.454545,0.767222,0.416667,1.0,0.795675,0.444444,1.0,0.729715,0.634146,0.807229,3.139405,2.500000,4.066667,2.304722,2.603509,3.654971,3.602564,2.333333,6.000000,-inf,-inf,-inf,-inf,-inf
7,0.467538,0.151515,0.708333,0.299395,0.090909,0.461538,0.750278,0.111111,1.0,0.791997,0.500000,1.0,0.733124,0.675325,0.824176,2.998611,2.083333,3.833333,2.342698,2.199444,3.393519,4.397436,3.666667,-inf,-inf,-inf,-inf,-inf,-inf
8,0.442134,0.121212,0.644444,0.322166,0.155556,0.545455,0.749048,0.400000,1.0,0.788075,0.500000,1.0,0.728258,0.658228,0.784091,2.793856,1.750000,4.055556,2.379206,1.846737,3.417284,4.046296,3.266667,1.666667,5.0,-inf,-inf,-inf,-inf
9,0.464312,0.303030,0.700000,0.329106,0.194444,0.454545,0.792183,0.555556,1.0,0.797608,0.555556,1.0,0.720969,0.676471,0.779817,3.007970,2.055556,3.750000,2.290595,2.283889,3.476608,4.238095,4.666667,4.000000,-inf,-inf,-inf,-inf,-inf
10,0.456958,0.230769,0.743590,0.331057,0.215686,0.487179,0.802665,0.619048,1.0,0.777011,0.555556,1.0,0.735006,0.672414,0.770992,3.128142,2.222222,3.904762,2.471984,2.125556,3.588333,4.128205,5.388889,4.333333,-inf,-inf,-inf,-inf,-inf
11,0.459212,0.277778,0.722222,0.311354,0.129630,0.476190,0.752698,0.466667,1.0,0.781057,0.416667,1.0,0.724589,0.689922,0.750000,3.230284,2.285714,4.583333,2.160764,2.089766,3.680159,4.214286,5.187500,3.333333,-inf,-inf,-inf,-inf,-inf
