"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.509722,0.222222,1.000000,0.400000,0.000000,0.666667,0.974359,0.833333,1.000000,0.837963,0.333333,1.000000,0.673513,0.600000,0.750000,2.191667,1.000000,5.666667,1.416667,1.371795,2.833333,4.166667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.566667,0.250000,0.833333,0.294722,0.083333,0.666667,0.875817,0.000000,1.000000,0.847222,0.500000,1.000000,0.703835,0.600000,0.796296,2.697222,1.333333,5.666667,1.522222,1.690476,3.513889,4.000000,3.833333,-inf,-inf,-inf,-inf,-inf,-inf
2,0.536111,0.250000,0.944444,0.345833,0.055556,0.666667,0.878472,0.500000,1.000000,0.885673,0.666667,1.000000,0.700602,0.615385,0.818182,2.813889,1.333333,5.500000,1.826944,1.538462,3.176768,4.142857,3.333333,4.666667,-inf,-inf,-inf,-inf,-inf
3,0.585040,0.375000,0.722222,0.295556,0.041667,0.523810,0.884259,0.333333,1.000000,0.871667,0.500000,1.000000,0.691116,0.608696,0.763158,2.719444,1.222222,5.166667,1.634444,1.531250,3.384615,4.238095,4.750000,-inf,-inf,-inf,-inf,-inf,-inf
4,0.553856,0.333333,0.866667,0.314517,0.074074,0.666667,0.851462,0.000000,1.000000,0.875000,0.500000,1.000000,0.702088,0.612903,0.767442,2.784722,1.444444,5.333333,1.663333,1.507937,3.037037,4.722222,5.000000,5.000000,-inf,-inf,-inf,-inf,-inf
5,0.352597,0.095238,0.851852,0.296870,0.111111,0.666667,0.669974,0.333333,1.000000,0.634066,0.250000,1.000000,0.667771,0.587302,0.808511,3.140278,1.666667,4.416667,2.483175,2.530117,4.006481,3.600000,3.533333,-inf,-inf,-inf,-inf,-inf,-inf
6,0.396326,0.192982,0.666667,0.290408,0.150000,0.462963,0.712070,0.481481,1.000000,0.680203,0.484848,1.000000,0.641812,0.571429,0.696203,3.227738,2.416667,4.333333,2.412222,2.767251,3.482456,3.974359,3.333333,5.000000,-inf,-inf,-inf,-inf,-inf
7,0.395202,0.166667,0.555556,0.275219,0.116667,0.404762,0.692592,0.370370,1.000000,0.658513,0.400000,0.933333,0.651857,0.585366,0.710000,3.072421,2.428571,4.166667,2.516190,2.198333,3.623457,4.440171,4.166667,-inf,-inf,-inf,-inf,-inf,-inf
8,0.367415,0.087719,0.615385,0.266505,0.133333,0.403509,0.593403,0.285714,0.888889,0.668130,0.476190,0.939394,0.655502,0.555556,0.764706,3.063638,1.666667,4.055556,2.344398,2.187963,3.643519,4.379630,3.700000,2.000000,5.0,-inf,-inf,-inf,-inf
9,0.375373,0.185185,0.644444,0.294257,0.126984,0.500000,0.657426,0.515152,0.952381,0.697603,0.555556,1.000000,0.641331,0.577778,0.697248,3.082771,2.055556,3.833333,2.378889,2.428611,3.535088,4.273810,3.888889,5.000000,-inf,-inf,-inf,-inf,-inf
10,0.353001,0.185185,0.627451,0.292787,0.149425,0.476190,0.643115,0.291667,0.888889,0.648622,0.470588,0.933333,0.661087,0.620155,0.707692,3.211574,2.428571,4.000000,2.461964,2.415278,3.706111,3.705128,4.500000,5.666667,-inf,-inf,-inf,-inf,-inf
11,0.370158,0.133333,0.616667,0.266728,0.092593,0.421053,0.610923,0.291667,0.851852,0.654170,0.333333,0.866667,0.649103,0.604167,0.699115,3.302454,2.333333,4.333333,2.360909,2.284503,3.850952,3.900794,4.291667,3.000000,-inf,-inf,-inf,-inf,-inf
