,n_feat,mean_right_dir,ci95_low_right_dir,ci95_high_right_dir,ci99_low_right_dir,ci99_high_right_dir,mean_wrong_dir,ci95_low_wrong_dir,ci95_high_wrong_dir,ci99_low_wrong_dir,ci99_high_wrong_dir,mean_asc,ci95_low_asc,ci95_high_asc,ci99_low_asc,ci99_high_asc,mean_desc,ci95_low_desc,ci95_high_desc,ci99_low_desc,ci99_high_desc,mean_wrong_edges,ci95_low_wrong_edges,ci95_high_wrong_edges,ci99_low_wrong_edges,ci99_high_wrong_edges,mean_indegree,ci95_low_indegree,ci95_high_indegree,ci99_low_indegree,ci99_high_indegree
0,4,0.5500000000000002,0.44752107881709596,0.6524789211829043,0.41188765899297874,0.6881123410070216,0.3453703703703704,0.24973452277506664,0.44100621796567413,0.21648053972896816,0.4742602010117726,0.9166666666666667,0.8531809084253172,0.9801524249080162,0.8302318658740452,1.0031014674592884,0.8688888888888888,0.7810951702987979,0.9566826074789797,0.74991321616889,0.9878645616088877,0.6497763257629997,0.6343795252803015,0.6651731262456979,0.6290258325480279,0.6705268189779715,1.9555555555555555,1.6706274003768802,2.240483710734231,1.571553713261537,2.339557397849574
1,5,0.5198148148148147,0.4533808139733493,0.5862488156562802,0.43028074017032203,0.6093488894593074,0.331111111111111,0.2667121148335744,0.39551010738864767,0.24431964188283412,0.41790258033938793,0.8472222222222222,0.7335429247074697,0.9609015197369747,0.6933655513953904,1.001078893049054,0.8549808429118773,0.7873852871624263,0.9225763986613282,0.7637957178713624,0.9461659679523922,0.6554336382224455,0.6391180214496172,0.6717492549952738,0.6334448428540116,0.6774224335908794,2.2962962962962963,2.0346105215550825,2.55798207103751,1.9436185500772578,2.6489740425153347
2,6,0.504047619047619,0.42235758168027343,0.5857376564149646,0.3939527608316709,0.6141424772635671,0.3535714285714286,0.27658878170596174,0.43055407543689544,0.24982078938846874,0.45732206775438844,0.8375555555555556,0.7368684577092381,0.9382426534018731,0.7011071240177434,0.9740039870933678,0.8720238095238094,0.8057961200359633,0.9382514990116555,0.7825934549795701,0.9614541640680487,0.6533593322512424,0.636087262871461,0.6706314016310239,0.630081511714669,0.6766371527878159,2.3000000000000003,2.011284639229509,2.5887153607704914,1.9108940853355572,2.6891059146644434
3,7,0.49984126984126986,0.44494360822955825,0.5547389314529815,0.42585488831533275,0.5738276513672069,0.34047619047619054,0.2990420771913584,0.3819103037610227,0.2846348299577218,0.39631755099465926,0.8140873015873017,0.715802199559942,0.9123724036146614,0.6813683197128612,0.9468062834617422,0.8561111111111113,0.7976454012177705,0.914576821004452,0.7773160187272374,0.9349062034949851,0.6601962242966012,0.6423995422196084,0.677992906373594,0.6362113755546414,0.684181073038561,2.3027777777777776,2.043184126964598,2.562371428590957,1.9529196175774275,2.6526359379781277
4,8,0.5801234567901236,0.5227820729536956,0.6374648406265515,0.5028436350783352,0.6574032785019119,0.2682627865961199,0.2279458499996193,0.3085797231926205,0.21392706144112808,0.3225985117511117,0.8197318007662835,0.7181046615969386,0.9213589399356283,0.6826387139513002,0.9568248875812668,0.8651851851851851,0.8139756115315238,0.9163947588388464,0.7961692937448823,0.9342010766254878,0.6516542780094718,0.6335633160052576,0.6697452400136861,0.6272728239052504,0.6760357321136933,2.2916666666666665,2.0594491699388993,2.5238841633944338,1.9787037497501228,2.6046295835832103
5,9,0.32041390708057377,0.26159557023935276,0.3792322439217948,0.24114357420127175,0.3996842399598758,0.24703499229815018,0.21675121150357735,0.277318773092723,0.20622109796941404,0.2878488866268863,0.5727697611030945,0.48998369852703477,0.6555558236791543,0.4611977736821263,0.6843417485240628,0.5665670132336799,0.49611666411759386,0.6370173623497659,0.4716200472735446,0.661513979193815,0.6031324222528417,0.5863407099117316,0.6199241345939518,0.5805019859233256,0.6257628585823578,2.4531481481481476,2.3067655053544116,2.5995307909418837,2.2558661193594784,2.650430176936817
6,10,0.3314371727045034,0.29151725370024195,0.37135709170876485,0.27763651396563094,0.38523783144337587,0.2387000580516419,0.21481761975844357,0.26258249634484027,0.2065133466425486,0.2708867694607352,0.6003091353091353,0.5314717957312562,0.6691464748870144,0.5075360458966542,0.6930822247216164,0.5578926012259344,0.5075890258448257,0.6081961766070432,0.49009773690931924,0.6256874655425496,0.5939496920516177,0.5745228467205303,0.6133765373827051,0.5677678484481996,0.6201315356550359,2.447698412698413,2.310371622276063,2.5850252031207632,2.262621088607931,2.6327757367888953
7,11,0.315881988439264,0.27497662070145645,0.3567873561770716,0.26075322602832485,0.3710107508502032,0.24247642186961074,0.21314391466617144,0.27180892907305004,0.20294457287364226,0.2820082708655792,0.5540788840788841,0.4841665922641509,0.6239911758936172,0.4598570658137868,0.6483007023439813,0.5728172753172752,0.5185439515011412,0.6270905991334093,0.49967232297044206,0.6459622276641084,0.603666855240163,0.5863302319490207,0.6210034785313052,0.5803020344530374,0.6270316760272885,2.4319576719576714,2.3051331239582913,2.5587822199570516,2.261034373593814,2.6028809703215288
8,12,0.32676839767959404,0.27763194692574517,0.3759048484334429,0.26054648429432303,0.39299031106486504,0.22504291107347824,0.1970881037348443,0.25299771841211216,0.18736780833651578,0.2627180138104407,0.49247203413870083,0.43095923555726334,0.5539848327201383,0.4095703357610154,0.5753737325163862,0.6009620408640017,0.5457462058116257,0.6561778759163778,0.5265468523382526,0.6753772293897509,0.5991863569199433,0.5827258102176395,0.615646903622247,0.5770022373657081,0.6213704764741784,2.3919929453262783,2.2548354949025753,2.5291503957499812,2.207143843228858,2.5768420474236984
9,13,0.3296138902634617,0.2929131565431215,0.36631462398380193,0.28015177461779944,0.379076005909124,0.24242002755330405,0.2129489042592137,0.2718911508473944,0.2027013636244687,0.28213869148213944,0.5452336860670194,0.4903975708733029,0.600069801260736,0.4713302515488355,0.6191371205852032,0.6050485317151982,0.5518404022903818,0.6582566611400147,0.5333391574298265,0.67675790600057,0.5897325441216333,0.5738953012543365,0.6055697869889302,0.5683884602627177,0.611076627980549,2.395546737213404,2.2903272687822427,2.5007662056445654,2.253740920594734,2.5373525538320743
10,14,0.33609642072415474,0.29510218212355976,0.3770906593247497,0.2808478857515492,0.3913449556967603,0.23298961385264597,0.1971985098194937,0.26878071788579827,0.1847534194412908,0.2812258082640011,0.5590420998754333,0.5017555705053692,0.6163286292454974,0.4818362063303036,0.6362479934205629,0.5795086884792766,0.5375435500122362,0.621473826946317,0.5229516575555977,0.6360657194029555,0.603254744183862,0.5888251614446528,0.6176843269230713,0.5838077844689976,0.6227017038987265,2.4759082892416227,2.3582412447694083,2.593575333713837,2.3173266923254183,2.634489886157827
11,15,0.31292021011265597,0.280649333071214,0.34519108715409796,0.2694282771073461,0.3564121431179658,0.23040016347424513,0.20557864007044552,0.25522168687804475,0.1969478333258748,0.2638524936226155,0.5238048978980351,0.4755344463719921,0.5720753494240781,0.45875010433879226,0.5888596914572779,0.5574159485833893,0.5117262245993169,0.6031056725674616,0.4958392392799975,0.618992657886781,0.5976214810656716,0.5854459946284328,0.6097969675029103,0.5812123999069716,0.6140305622243716,2.475802469135803,2.3387994042559783,2.6128055340156275,2.2911614346940192,2.6604435035775866
