,n_feat,mean_right_dir,ci95_low_right_dir,ci95_high_right_dir,ci99_low_right_dir,ci99_high_right_dir,mean_wrong_dir,ci95_low_wrong_dir,ci95_high_wrong_dir,ci99_low_wrong_dir,ci99_high_wrong_dir,mean_asc,ci95_low_asc,ci95_high_asc,ci99_low_asc,ci99_high_asc,mean_desc,ci95_low_desc,ci95_high_desc,ci99_low_desc,ci99_high_desc,mean_wrong_edges,ci95_low_wrong_edges,ci95_high_wrong_edges,ci99_low_wrong_edges,ci99_high_wrong_edges,mean_indegree,ci95_low_indegree,ci95_high_indegree,ci99_low_indegree,ci99_high_indegree
0,4,0.5500000000000002,0.44752107881709596,0.6524789211829043,0.41188765899297874,0.6881123410070216,0.3453703703703704,0.24973452277506664,0.44100621796567413,0.21648053972896816,0.4742602010117726,0.9166666666666667,0.8531809084253172,0.9801524249080162,0.8302318658740452,1.0031014674592884,0.8688888888888888,0.7810951702987979,0.9566826074789797,0.74991321616889,0.9878645616088877,0.6497763257629997,0.6343795252803015,0.6651731262456979,0.6290258325480279,0.6705268189779715,1.9555555555555555,1.6706274003768802,2.240483710734231,1.571553713261537,2.339557397849574
1,5,0.5198148148148147,0.4533808139733493,0.5862488156562802,0.43028074017032203,0.6093488894593074,0.331111111111111,0.2667121148335744,0.39551010738864767,0.24431964188283412,0.41790258033938793,0.8472222222222222,0.7335429247074697,0.9609015197369747,0.6933655513953904,1.001078893049054,0.8549808429118773,0.7873852871624263,0.9225763986613282,0.7637957178713624,0.9461659679523922,0.6554336382224455,0.6391180214496172,0.6717492549952738,0.6334448428540116,0.6774224335908794,2.2962962962962963,2.0346105215550825,2.55798207103751,1.9436185500772578,2.6489740425153347
2,6,0.504047619047619,0.42235758168027343,0.5857376564149646,0.3939527608316709,0.6141424772635671,0.3535714285714286,0.27658878170596174,0.43055407543689544,0.24982078938846874,0.45732206775438844,0.8375555555555556,0.7368684577092381,0.9382426534018731,0.7011071240177434,0.9740039870933678,0.8720238095238094,0.8057961200359633,0.9382514990116555,0.7825934549795701,0.9614541640680487,0.6533593322512424,0.636087262871461,0.6706314016310239,0.630081511714669,0.6766371527878159,2.3000000000000003,2.011284639229509,2.5887153607704914,1.9108940853355572,2.6891059146644434
3,7,0.49984126984126986,0.44494360822955825,0.5547389314529815,0.42585488831533275,0.5738276513672069,0.34047619047619054,0.2990420771913584,0.3819103037610227,0.2846348299577218,0.39631755099465926,0.8140873015873017,0.715802199559942,0.9123724036146614,0.6813683197128612,0.9468062834617422,0.8561111111111113,0.7976454012177705,0.914576821004452,0.7773160187272374,0.9349062034949851,0.6601962242966012,0.6423995422196084,0.677992906373594,0.6362113755546414,0.684181073038561,2.3027777777777776,2.043184126964598,2.562371428590957,1.9529196175774275,2.6526359379781277
4,8,0.5801234567901236,0.5227820729536956,0.6374648406265515,0.5028436350783352,0.6574032785019119,0.2682627865961199,0.2279458499996193,0.3085797231926205,0.21392706144112808,0.3225985117511117,0.8197318007662835,0.7181046615969386,0.9213589399356283,0.6826387139513002,0.9568248875812668,0.8651851851851851,0.8139756115315238,0.9163947588388464,0.7961692937448823,0.9342010766254878,0.6516542780094718,0.6335633160052576,0.6697452400136861,0.6272728239052504,0.6760357321136933,2.2916666666666665,2.0594491699388993,2.5238841633944338,1.9787037497501228,2.6046295835832103
5,9,0.3970181978515312,0.3387955939777419,0.4552408017253205,0.3185507430060465,0.47548565269701587,0.3003507295173962,0.2684341328370749,0.33226732619771754,0.2573362653367226,0.34336519369806984,0.7227248677248677,0.6455594400838361,0.7998902953658992,0.6187278922171991,0.8267218432325362,0.6756481481481483,0.6000319418083075,0.7512643544879891,0.5737390808480956,0.7775572154482011,0.6836906751856145,0.6645412030252221,0.702840147346007,0.6578826514613972,0.7094986989098319,2.4005555555555556,2.272773216982852,2.528337894128259,2.2283414288267114,2.5727696822843997
6,10,0.4317879034545701,0.38231966392372635,0.4812561429854138,0.365118833481567,0.49845697342757317,0.2950535575535575,0.25369479353401986,0.33641232157309514,0.23931374634203756,0.35079336876507744,0.7321428571428572,0.6592053767269961,0.8050803375587183,0.6338439479514824,0.8304417663342321,0.7256746031746033,0.6598924092879457,0.7914567970612609,0.6370189782968924,0.8143302280523143,0.6677190569970785,0.6530222967327335,0.6824158172614234,0.6479120182236621,0.6875260957704948,2.367592592592593,2.24016271414995,2.495022471035236,2.1958534815363615,2.5393317036488243
7,11,0.4305598413931747,0.3782011265833159,0.48291855620303353,0.35999523560851737,0.501124447177832,0.2842221358888025,0.2483460469402286,0.32009822483737643,0.23587140606388443,0.3325728657137206,0.7015343915343917,0.6174452538151924,0.7856235292535909,0.5882062306833202,0.8148625523854631,0.7365343915343916,0.669770652061502,0.8032981310072812,0.6465559233133393,0.8265128597554439,0.6759615427112727,0.6576681594043181,0.6942549260182274,0.6513072824565916,0.7006158029659538,2.3828174603174603,2.250368764464783,2.5152661561701377,2.20431441562897,2.5613205050059507
8,12,0.44164332580999244,0.3887836305276283,0.49450302109235655,0.37040354131484676,0.5128831103051381,0.27610901444234776,0.24311816038944184,0.30909986849525367,0.23164675788779754,0.320571270996898,0.6590388007054674,0.5815499021974264,0.7365276992135084,0.5546058787790176,0.7634717226319172,0.775330687830688,0.7236676505614805,0.8269937250998955,0.7057036568430357,0.8449577188183404,0.662563950079678,0.6458807890150567,0.6792471111442994,0.6400798098932333,0.6850480902661228,2.2495546737213403,2.1061535891648373,2.3929557582778433,2.0562909345793594,2.4428184128633212
9,13,0.4108170841504176,0.3608273908696802,0.46080677743115506,0.34344524333153326,0.478188924969302,0.31203284369951045,0.2767190665386692,0.34734662086035173,0.2644399496956876,0.3596257377033333,0.6842063492063493,0.6102125051150071,0.7582001932976914,0.5844837632384101,0.7839289351742884,0.7451206509539843,0.6861695769594277,0.8040717249485408,0.6656714262716249,0.8245698756363437,0.6659606303233817,0.6528559239571122,0.6790653366896512,0.6482992258749025,0.6836220347718609,2.3349426807760145,2.2311870940328054,2.4386982675192237,2.1951097589199606,2.4747756026320684
10,14,0.4199255451577433,0.368387032699239,0.47146405761624754,0.3504663380788633,0.48938475223662325,0.30502656155906926,0.26406740795532446,0.34598571516281407,0.2498253111498965,0.36022781196824205,0.7196913580246913,0.6591325120774281,0.7802502039719545,0.6380753155652651,0.8013074004841175,0.7339542247875582,0.6780612215732618,0.7898472280018547,0.6586264068252508,0.8092820427498657,0.6750878443207607,0.6624899320252495,0.687685756616272,0.6581094536541692,0.6920662349873523,2.4111331569664904,2.29348744282881,2.528778871104171,2.2525803072541297,2.569686006678851
11,15,0.427276099898649,0.38764006051185435,0.4669121392854437,0.37385802987245964,0.4806941699248384,0.2997005654113497,0.26924928053110836,0.33015185029159105,0.2586609233763255,0.3407402074463739,0.6957327240660575,0.6446484202309782,0.7468170279011367,0.6268856605925424,0.7645797875395726,0.743840788840789,0.6912288589976212,0.7964527186839567,0.6729349214520399,0.814746656229538,0.6612739843967932,0.6478520307273519,0.6746959380662345,0.6431850211175469,0.6793629476760394,2.411234567901235,2.257345086802093,2.5651240490003766,2.2038354633280703,2.6186336724743993
