,n_feat,mean_right_dir,ci95_low_right_dir,ci95_high_right_dir,ci99_low_right_dir,ci99_high_right_dir,mean_wrong_dir,ci95_low_wrong_dir,ci95_high_wrong_dir,ci99_low_wrong_dir,ci99_high_wrong_dir,mean_asc,ci95_low_asc,ci95_high_asc,ci99_low_asc,ci99_high_asc,mean_desc,ci95_low_desc,ci95_high_desc,ci99_low_desc,ci99_high_desc,mean_wrong_edges,ci95_low_wrong_edges,ci95_high_wrong_edges,ci99_low_wrong_edges,ci99_high_wrong_edges,mean_indegree,ci95_low_indegree,ci95_high_indegree,ci99_low_indegree,ci99_high_indegree
0,4,0.5425925925925927,0.46865758715606654,0.6165275980291189,0.44294930434036456,0.642235880844821,0.36111111111111105,0.2969397219616187,0.4252825002606034,0.27462639133844147,0.44759583088378063,0.9393939393939394,0.8856914974076845,0.9930963813801944,0.8662789604798813,1.0125089183079976,0.8755555555555555,0.7917457404029528,0.9593653707081583,0.7619787610142987,0.9891323500968123,0.6785733452617373,0.6619058621643095,0.6952408283591651,0.6561103345009962,0.7010363560224784,2.261111111111111,1.8487212870715424,2.6735009351506798,1.7053273133491955,2.8168949088730266
1,5,0.5787037037037037,0.5209460276707765,0.636461379736631,0.5008628389097105,0.6565445684976969,0.29796296296296293,0.2487044084189461,0.34722151750697977,0.2315764885137066,0.36434943741221926,0.8643162393162392,0.7505007356719482,0.9781317429605303,0.7102752233879231,1.0183572552445554,0.8844827586206896,0.8213498960569499,0.9476156211844293,0.7993177222035283,0.9696477950378509,0.7013359392785791,0.6825872900523774,0.7200845885047807,0.6760681104854889,0.7266037680716693,2.8685185185185182,2.462535674775052,3.2745013622619843,2.3213695018146634,3.415667535222373
2,6,0.5603703703703704,0.49574564015404265,0.6249951005866982,0.47327467621104125,0.6474660645296996,0.3217460317460317,0.2663827073191906,0.37710935617287283,0.24713206963303255,0.39635999385903087,0.8662222222222223,0.7730854632019116,0.959358981242533,0.7400058056339337,0.992438638810511,0.8930555555555556,0.8476420389647985,0.9384690721463127,0.8317315546547325,0.9543795564563787,0.706746187861018,0.6876127379191207,0.7258796378029152,0.6809597575150189,0.732532618207017,2.8333333333333335,2.407912597053256,3.2587540696134107,2.2599875845455917,3.4066790821210753
3,7,0.5901190476190475,0.5379186607552832,0.6423194344828119,0.5197678227231576,0.6604702725149375,0.2766666666666666,0.23709825183636773,0.3162350814969655,0.223339735244391,0.32999359808894224,0.8476190476190478,0.7577987814917861,0.9374393137463095,0.726330530578255,0.9689075646598406,0.8857407407407406,0.8277405207826053,0.9437409606988759,0.8075729959511264,0.9639084855303548,0.7007396448836264,0.6826248924702595,0.7188543972969933,0.6763261280970146,0.7251531616702381,2.9351851851851842,2.5508866162126815,3.319483754157687,2.4172603827596193,3.453109987610749
4,8,0.5907186948853618,0.5312045665624463,0.6502328232082772,0.5105106336490443,0.6709267561216793,0.2920590828924163,0.24246656774118652,0.34165159804364603,0.22522252484807626,0.3588956409367563,0.8486590038314177,0.7609564413860341,0.9363615662768012,0.7303499074080063,0.966968100254829,0.8994444444444446,0.8484514565501773,0.9504374323387119,0.830720448800013,0.9681684400888763,0.7018991831650165,0.6874383170978184,0.7163600492322146,0.6824100624514496,0.7213883038785834,2.9796296296296294,2.5188842785126386,3.44037498074662,2.358676380743503,3.600582878515756
5,9,0.3717381513872742,0.30079026031128087,0.4426860424632675,0.276120640850373,0.4673556619241753,0.28769131128780245,0.24133347713186235,0.33404914544374253,0.22521418013353495,0.35016844244206996,0.6718318101651434,0.5978366720088844,0.7458269483214024,0.5721074801669878,0.771556140163299,0.6576585759919092,0.5918885327805735,0.723428619203245,0.5690193267570539,0.7462978252267646,0.6629421361338182,0.6439229474658323,0.6819613248018042,0.6373096973779353,0.6885745748897012,3.1944444444444446,2.957743775700044,3.4311451131888453,2.875439491027055,3.513449397861834
6,10,0.3735255573451607,0.3238271393481989,0.42322397534212247,0.30654627248661803,0.44050484220370334,0.2827064770384306,0.24874933104722122,0.31666362302964,0.23694193470496286,0.3284710193718984,0.682925993759327,0.6156885309565869,0.7501634565620672,0.5923090816776244,0.7735429058410297,0.6466951566951568,0.6019972969594264,0.6913930164308871,0.5864551973469599,0.7069351160433536,0.6522683406433843,0.637490916152078,0.6670457651346907,0.6323525895114405,0.6721840917753282,3.2487037037037036,3.04222476004167,3.455182647365737,2.97042901122404,3.526978396183367
7,11,0.3829193760029673,0.3340503302171697,0.431788421788765,0.31705784820439226,0.4487809038015424,0.26930170952771576,0.24356346362952502,0.2950399554259065,0.2346138990650261,0.3039895199904054,0.6593197851531186,0.5985071688419719,0.7201324014642654,0.5773617326624626,0.7412778376437746,0.6547376080709414,0.5955315743427954,0.7139436417990874,0.574944770426403,0.7345304457154798,0.6529525952538301,0.6388572146707645,0.6670479758368957,0.6339560446730764,0.6719491458345838,3.144537037037037,2.949266763230448,3.3398073108436264,2.8813684328674496,3.4077056412066247
8,12,0.3778159433642264,0.3228971495930343,0.43273473713541855,0.30380108171786363,0.4518308050105892,0.2612337980394321,0.2272958234249352,0.29517177265392897,0.21549509325077382,0.30697250282809035,0.5915416373749708,0.525313407166276,0.6577698675836656,0.5022848828220092,0.6807983919279323,0.6809330429918664,0.6338862892258632,0.7279797967578696,0.6175274448024938,0.744338641181239,0.645380223404948,0.6277853084404831,0.662975138369413,0.6216672991517299,0.6690931476581662,3.03391975308642,2.8097655491305185,3.2580739570423214,2.7318238537779145,3.3360156523949254
9,13,0.35782014932576545,0.3157187360966775,0.3999215625548534,0.3010794589120246,0.4145608397395063,0.30431811655637203,0.2764461887080618,0.33219004440468225,0.26675471172077253,0.34188152139197153,0.6336080894414228,0.584249966044698,0.6829662128381475,0.5670874245930079,0.7001287542898377,0.6982084736251403,0.6459062455363636,0.750510701713917,0.6277199958206998,0.7686969514295807,0.6403577892330545,0.6268694328184371,0.653846145647672,0.6221793340028812,0.6585362444632279,3.102226631393299,2.9303353243685613,3.2741179384180366,2.8705662027128334,3.3338870600737645
