,n_feat,mean_right_dir,ci95_low_right_dir,ci95_high_right_dir,ci99_low_right_dir,ci99_high_right_dir,mean_wrong_dir,ci95_low_wrong_dir,ci95_high_wrong_dir,ci99_low_wrong_dir,ci99_high_wrong_dir,mean_asc,ci95_low_asc,ci95_high_asc,ci99_low_asc,ci99_high_asc,mean_desc,ci95_low_desc,ci95_high_desc,ci99_low_desc,ci99_high_desc,mean_wrong_edges,ci95_low_wrong_edges,ci95_high_wrong_edges,ci99_low_wrong_edges,ci99_high_wrong_edges,mean_indegree,ci95_low_indegree,ci95_high_indegree,ci99_low_indegree,ci99_high_indegree
0,4,0.5425925925925927,0.46865758715606654,0.6165275980291189,0.44294930434036456,0.642235880844821,0.36111111111111105,0.2969397219616187,0.4252825002606034,0.27462639133844147,0.44759583088378063,0.9393939393939394,0.8856914974076845,0.9930963813801944,0.8662789604798813,1.0125089183079976,0.8755555555555555,0.7917457404029528,0.9593653707081583,0.7619787610142987,0.9891323500968123,0.6785733452617373,0.6619058621643095,0.6952408283591651,0.6561103345009962,0.7010363560224784,2.261111111111111,1.8487212870715424,2.6735009351506798,1.7053273133491955,2.8168949088730266
1,5,0.5787037037037037,0.5209460276707765,0.636461379736631,0.5008628389097105,0.6565445684976969,0.29796296296296293,0.2487044084189461,0.34722151750697977,0.2315764885137066,0.36434943741221926,0.8643162393162392,0.7505007356719482,0.9781317429605303,0.7102752233879231,1.0183572552445554,0.8844827586206896,0.8213498960569499,0.9476156211844293,0.7993177222035283,0.9696477950378509,0.7013359392785791,0.6825872900523774,0.7200845885047807,0.6760681104854889,0.7266037680716693,2.8685185185185182,2.462535674775052,3.2745013622619843,2.3213695018146634,3.415667535222373
2,6,0.5603703703703704,0.49574564015404265,0.6249951005866982,0.47327467621104125,0.6474660645296996,0.3217460317460317,0.2663827073191906,0.37710935617287283,0.24713206963303255,0.39635999385903087,0.8662222222222223,0.7730854632019116,0.959358981242533,0.7400058056339337,0.992438638810511,0.8930555555555556,0.8476420389647985,0.9384690721463127,0.8317315546547325,0.9543795564563787,0.706746187861018,0.6876127379191207,0.7258796378029152,0.6809597575150189,0.732532618207017,2.8333333333333335,2.407912597053256,3.2587540696134107,2.2599875845455917,3.4066790821210753
3,7,0.5901190476190475,0.5379186607552832,0.6423194344828119,0.5197678227231576,0.6604702725149375,0.2766666666666666,0.23709825183636773,0.3162350814969655,0.223339735244391,0.32999359808894224,0.8476190476190478,0.7577987814917861,0.9374393137463095,0.726330530578255,0.9689075646598406,0.8857407407407406,0.8277405207826053,0.9437409606988759,0.8075729959511264,0.9639084855303548,0.7007396448836264,0.6826248924702595,0.7188543972969933,0.6763261280970146,0.7251531616702381,2.9351851851851842,2.5508866162126815,3.319483754157687,2.4172603827596193,3.453109987610749
4,8,0.5907186948853618,0.5312045665624463,0.6502328232082772,0.5105106336490443,0.6709267561216793,0.2920590828924163,0.24246656774118652,0.34165159804364603,0.22522252484807626,0.3588956409367563,0.8486590038314177,0.7609564413860341,0.9363615662768012,0.7303499074080063,0.966968100254829,0.8994444444444446,0.8484514565501773,0.9504374323387119,0.830720448800013,0.9681684400888763,0.7018991831650165,0.6874383170978184,0.7163600492322146,0.6824100624514496,0.7213883038785834,2.9796296296296294,2.5188842785126386,3.44037498074662,2.358676380743503,3.600582878515756
5,9,0.46360990860990864,0.40075577093078296,0.5264640462890343,0.3789004679108992,0.5483193493089181,0.29923841590508254,0.2600560321990306,0.33842079961113447,0.2464317442753174,0.3520450875348477,0.780899470899471,0.7129801703586822,0.8488187714402597,0.6893636361251616,0.8724353056737804,0.7520634920634922,0.6826060367790114,0.821520947347973,0.6584546636429752,0.8456723204840092,0.7382479853913183,0.7192896445213518,0.7572063262612848,0.7126975521028288,0.7637984186798078,3.2162962962962953,2.968057943211143,3.4645346493814477,2.8817418369345837,3.550850755658007
6,10,0.4524558466225133,0.40060592260199585,0.5043057706430307,0.38257694562658345,0.5223347476184432,0.3164351697685031,0.2827696950950549,0.3501006444419513,0.27106371713617206,0.36180662240083417,0.758994708994709,0.6930535979885143,0.8249358200009037,0.6701249091905643,0.8478645087988537,0.7776455026455028,0.7287603459675773,0.8265306593234283,0.7117622619619578,0.8435287433290478,0.7318289630988504,0.7169424829547931,0.7467154432429076,0.7117662360685695,0.7518916901291313,3.073121693121693,2.881454819144086,3.2647885670992998,2.8148094436074866,3.331433942635899
7,11,0.47303693220359894,0.41528596663134465,0.5307878977758532,0.3952051111956067,0.5508687532115911,0.2922768589435255,0.2589598053984563,0.3255939124885947,0.24737497856216348,0.3371787393248875,0.7435714285714285,0.6640482252180213,0.8230946319248358,0.6363968442497044,0.8507460128931527,0.7938007054673721,0.7362933202882191,0.8513080906465251,0.7162971613179407,0.8713042496168035,0.7338114071726017,0.7173612750943126,0.7502615392508909,0.7116413235594828,0.7559814907857206,3.026719576719577,2.834836550750562,3.2186026026885917,2.768116016004959,3.2853231374341947
8,12,0.43734250317583656,0.3758506376223562,0.4988343687293169,0.3544690165461102,0.5202159898055629,0.3159344667678001,0.28277398729349357,0.3490949462421067,0.27124360355176746,0.3606253299838328,0.7120987654320989,0.6440223033204042,0.7801752275437936,0.6203511217099239,0.803846409154274,0.7911243386243387,0.7373641094799156,0.8448845677687619,0.7186708914714541,0.8635777857772233,0.7304885493256327,0.7168865787469482,0.7440905199043172,0.7121569746247454,0.74882012402652,2.790114638447972,2.5612422401718824,3.018987036724061,2.4816599596425184,3.098569317253425
9,13,0.4545438049604717,0.41383713792877197,0.4952504719921714,0.39968283439749036,0.5094047755234531,0.3144267923434591,0.2809475582796799,0.34790602640723833,0.2693063389048652,0.359547245782053,0.7423104056437391,0.6812869641629766,0.8033338471245015,0.6600682209883147,0.8245525902991634,0.7872683181016514,0.735885069525389,0.8386515666779139,0.7180183624278675,0.8565182737754353,0.7282868072384162,0.7184408322735459,0.7381327822032865,0.7150172427641016,0.7415563717127308,3.0524250440917107,2.897831164396371,3.2070189237870506,2.84407661122742,3.2607734769560013
